Population,CO2 Combustion per EJ,Coal Consumption in EJ,Coal Production in EJ,Gas Consumption in EJ,Gas Production in EJ,HydEl Production in EJ,Nuclear Power Production in EJ,Oil Consumption in MTonnes,Oil Production in MTonnes,Solar Power Production in EJ,Wind Power Production in EJ,id,name,group
28.478022,57.800120952547,0.025958159938455,0.0,0.7279965,2.2136867046356,0.0020545162260532,0.0,8.433,55.81125440806,0.0,0.0,0,Algeria,Africa
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.173,0.0,0.0,1,Angola,Africa
34.94611,52.584161760715,0.026690948754549,0.0,0.9449199,0.8756000995636,0.28213596343994,0.072179570794106,21.889,37.456931034483,0.0,0.0,2,Argentina,S. & Cent. America
18.002999,74.042045288032,1.7430000305176,5.7305445671082,0.69629649171562,1.0654548406601,0.16639451682568,0.0,35.247918834119,26.665005053544,0.0002251451660413,7.4516130553093e-05,3,Australia,Asia Pacific
7.947296,46.348850881744,0.14521911740303,0.0,0.27416577688101,0.0,0.39458656311035,0.0,11.241231884424,0.0,1.0645161637513e-05,1.0645161637513e-05,4,Austria,Europe
7.88933,61.99325026663,0.0001256039977306,0.0,0.282005388,0.23201639950275,0.016563871875405,0.0,6.5802276422764,9.1617,0.0,0.0,5,Azerbaijan,CIS
0.0,0.0,0.0,0.0,0.0,0.271639585495,0.0,0.0,0.0,0.0,0.0,0.0,6,Bahrain,Middle East
117.793338,47.257220928699,0.013434478081763,0.0,0.24272402453145,0.24272403120995,0.0039599998854101,0.0,2.933,0.0,0.0,0.0,7,Bangladesh,Asia Pacific
10.461696,61.169981937351,0.039851680397987,0.0,0.41493720353982,0.0,0.0002129032218363,0.0,10.566,0.0,0.0,0.0,8,Belarus,CIS
10.095198,53.284451522759,0.3705458343029,0.0,0.4482918,0.0,0.0035980644170195,0.42245376110077,27.192400310516,0.0,0.0,9.580644837115e-05,9,Belgium,Europe
0.0,0.0,0.0,0.0,0.0,0.10956121236086,0.0,0.0,0.0,0.0,0.0,0.0,10,Bolivia,S. & Cent. America
163.515328,36.828512856938,0.49582734704018,0.08601351082325,0.18829780715979,0.18829780817032,2.7028608322144,0.025731720030308,71.316325416115,37.503994192804,0.0,0.0,11,Brazil,S. & Cent. America
0.0,0.0,0.0,0.0,0.0,0.41281110048294,0.0,0.0,0.0,8.5405137288708,0.0,0.0,12,Brunei,Asia Pacific
8.47758,59.945799772483,0.32040771842003,0.22134664654732,0.1905813,0.0,0.024632902815938,0.17632204294205,6.3380003662109,0.0,0.0,0.0,13,Bulgaria,Europe
29.289423,38.726214525473,1.1024409532547,1.8008102178574,2.7810684,5.4986848831177,3.5561196804047,0.99253761768341,84.669616553267,111.90632276477,4.0899827581597e-05,0.0006280645029619,14,Canada,North America
14.416796,50.57237435026,0.099377885460854,0.0,0.0749772144,0.0,0.19601722061634,0.0,10.257192733409,0.0,0.0,0.0,15,Chile,S. & Cent. America
1218.144426,80.740491118486,27.852661132812,28.485542297363,0.64366371681416,0.65128320455551,2.0287549495697,0.13108979165554,153.5235,149.02,7.4516130553093e-05,0.0065591395832598,16,China,Asia Pacific
6.243859,80.27389546473,0.2345445305109,0.0,0.0010942101,0.0,0.0,0.0,9.568,0.0,0.0,0.0,17,China Hong Kong SAR,Asia Pacific
35.970101,49.52368733808,0.15111687779427,0.74360078573227,0.149301,0.1517363935709,0.34053233265877,0.0,11.875452823954,31.015584863412,0.0,0.0,18,Colombia,S. & Cent. America
4.8071,47.806757382045,0.0073168934322894,0.0,0.080982,0.0,0.06049432232976,0.0,3.919,0.0,0.0,0.0,19,Croatia,Europe
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,Cuba,S. & Cent. America
0.862418,74.235471327527,0.0044798757880926,0.0,0.0,0.0,0.0,0.0,2.057,0.0,0.0,0.0,21,Cyprus,Europe
10.311702,74.373197081205,0.98180574178696,1.1399233341217,0.2743029,0.0,0.021311612799764,0.12493010610342,7.9870812610023,0.0,0.0,0.0,22,Czech Republic,Europe
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,Democratic Republic of Congo,Africa
5.235196,74.547093113842,0.27165633440018,0.0,0.13371913472094,0.19830618798733,0.0003225483815185,0.0,10.581,9.064085447263,0.0,0.012532548047602,24,Denmark,Europe
11.561682,58.327661101908,1.4251036191126e-05,0.0,0.011639304,0.0,0.054934900254011,0.0,6.388,20.999049369588,0.0,0.0,25,Ecuador,S. & Cent. America
64.166908,59.359565135081,0.029067235067487,0.0,0.43659,0.43312498927116,0.11914064735174,0.0,23.281,46.588,0.0,0.0,26,Egypt,Africa
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34667571234735,0.0,0.0,27,Equatorial Guinea,Africa
1.452775,91.849391949726,0.14582858979702,0.0,0.0243882,0.0,0.0,0.0,1.253,0.0,0.0,0.0,28,Estonia,Europe
5.107943,48.925371600912,0.2469779998064,0.0,0.117648,0.0,0.13758870959282,0.19629247486591,9.8340009999275,0.0,8.9100003606291e-06,0.0001170967734651,29,Finland,Europe
57.420354,34.340365855931,0.61378490924835,0.0,1.2383217,0.0,0.77836352586746,3.8534350395203,88.861445032629,0.0,2.1716128685512e-05,5.018341835239e-05,30,France,Europe
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.756,0.0,0.0,31,Gabon,Africa
81.123262,62.155613463521,3.7941818237305,3.3096458911896,2.798545,0.60522186756134,0.22946709394455,1.5741398334503,135.11002351149,0.0,5.3225805459078e-05,0.01596774160862,32,Germany,Europe
10.727927,77.795471483965,0.33815512061119,0.31443285942078,0.0018369,0.0,0.037566773593426,0.0,17.848999267578,0.0,0.0,0.0003619354974944,33,Greece,Europe
10.32717,56.109558214017,0.18196828663349,0.15094000101089,0.384134,0.0,0.0017351612914354,0.14327634871006,7.4390007820129,0.0,0.0,0.0,34,Hungary,Europe
0.267681,27.694300636989,0.00265380484052,0.0,0.0,0.0,0.049789410084486,0.0,0.699,0.0,0.0,0.0,35,Iceland,Europe
964.279129,72.504020425615,5.8738083839417,5.5724520683289,0.650801844,0.65080183744431,0.80818992853165,0.077783815562725,75.232,36.647,1.0752688467619e-05,0.0052850032225251,36,India,Asia Pacific
